article_index,title,image_index,filename,image_url,detail_url,bytes,sha256
5,秦童娘子 德江傩堂戏《甘生赶考》,1,005_秦童娘子 德江傩堂戏《甘生赶考》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819053515529.png,https://www.zgnuoxi.com/mianju/view_1800.html,87816,5006477c7f3f4d5cd4df1066be1063372b0da90b075d7ee327f3b55529299f7c
6,歪嘴秦童 德江傩堂戏《甘生赶考》,1,006_歪嘴秦童 德江傩堂戏《甘生赶考》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819052952519.png,https://www.zgnuoxi.com/mianju/view_1799.html,88464,d097403468e162034d49c636ddc5eaecf04b0a2d78b6d69eae28d40c082c44f3
7,李龙 德江傩堂戏《李龙减灾》,1,007_李龙 德江傩堂戏《李龙减灾》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819051956223.png,https://www.zgnuoxi.com/mianju/view_1798.html,101079,01ada7534737cdf5d9681641604d42b2c22e0926e103be2dc73e1be4f5665a0f
8,蔡阳大将 德江傩堂戏《关公斩蔡阳》,1,008_蔡阳大将 德江傩堂戏《关公斩蔡阳》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819051832838.png,https://www.zgnuoxi.com/mianju/view_1797.html,101463,e3110a77af63a6f2c8372d3d54999e4d285b735debf2da1750849181d9fe2ca2
9,周仓 德江傩堂戏《关公斩蔡阳》,1,009_周仓 德江傩堂戏《关公斩蔡阳》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819051727866.png,https://www.zgnuoxi.com/mianju/view_1796.html,99899,761324cb6c639c430695d4d09f7338c129da1e33905e5baa3db49a19fe28c9a4
10,关公 德江傩堂戏《关公斩蔡阳》,1,010_关公 德江傩堂戏《关公斩蔡阳》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819111924380.png,https://www.zgnuoxi.com/mianju/view_1795.html,82581,501443a84d73d5e424f2a16726f09d311673b32f9ba3601f45cce7bf0ababbdb
11,开山猛将 德江傩堂戏《出开山》,1,011_开山猛将 德江傩堂戏《出开山》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819111734781.png,https://www.zgnuoxi.com/mianju/view_1794.html,124641,2e8b64654d81a4ab5368e879c79f07d53e1c52a976179aa6be48f17eab106f8e
12,唐氏太婆 德江傩堂戏《开洞》,1,012_唐氏太婆 德江傩堂戏《开洞》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819110751117.png,https://www.zgnuoxi.com/mianju/view_1793.html,107177,b8c9624a7d9a952cc9b048cad160464d5c743b5b894d2b08203cba30afd1f849
13,开路将军 德江傩堂戏《开洞》,1,013_开路将军 德江傩堂戏《开洞》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819110609201.png,https://www.zgnuoxi.com/mianju/view_1792.html,106068,dbafac7291126517bb5ad72b38b118488c19d7fa365769b662f20817d703ba85
14,尖角将军 德江傩堂戏《开洞》武将,1,014_尖角将军 德江傩堂戏《开洞》武将_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819110506484.png,https://www.zgnuoxi.com/mianju/view_1791.html,94254,cc702dc1ab78f00dad0b09d6fb067eea3d367dfeaf06032022c19147b6c4b242
15,德江傩堂戏 傩母（女娲、南山圣母）,1,015_德江傩堂戏 傩母（女娲、南山圣母）_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819110207211.png,https://www.zgnuoxi.com/mianju/view_1790.html,149733,14b5e3446d1cc6296eaf185c69c17a71e3bc64bdea9eeafb16b5a47b9d4c8986
16,傩公（伏羲、东山圣公） 德江傩堂戏,1,016_傩公（伏羲、东山圣公） 德江傩堂戏_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819105928641.png,https://www.zgnuoxi.com/mianju/view_1789.html,158753,79a1aafdc9287d16d7cad2b8f2ed4c84e0c80edbd555de4e74be843bdcb65248
17,辰州傩戏两头面具,1,017_辰州傩戏两头面具_01.png,https://www.zgnuoxi.com/uploadfile/2026/0423/20260423070037123.png,https://www.zgnuoxi.com/mianju/view_1762.html,736166,2000803fe5c747283b8b0cab805f66693fca37992f22e8531f3eaee3f9cff9b9
18,兰陵王本名高长恭 威武彩色傩面,1,018_兰陵王本名高长恭 威武彩色傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/1031/20251031100334730.jpg,https://www.zgnuoxi.com/mianju/view_1731.html,212395,68c2bc6b77c9e3db7e5914085ddcf80ce67a7d47b385c9f56b72e559247c6429
18,兰陵王本名高长恭 威武彩色傩面,2,018_兰陵王本名高长恭 威武彩色傩面_02.jpg,https://www.zgnuoxi.com/uploadfile/2025/1031/20251031100340413.jpg,https://www.zgnuoxi.com/mianju/view_1731.html,211565,e0eebf8182e7cc48b26884beaf9375eda7b25abd0b3bece42b325c5f8cc1d869
19,兰陵王 古代作战彩色傩面,1,019_兰陵王 古代作战彩色傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/1031/20251031095910929.jpg,https://www.zgnuoxi.com/mianju/view_1730.html,402708,f6a77c3809b15cc0057d549884bd58aeeaeaf6db3dc5d3329606a7744eb1b65d
20,兰陵王 战斗傩面,1,020_兰陵王 战斗傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/1031/20251031095554379.jpg,https://www.zgnuoxi.com/mianju/view_1729.html,125523,7bfaf9225844d6338779b6d948eabd4015cf8ee686a14593f6c2d21cf7cbcc31
20,兰陵王 战斗傩面,2,020_兰陵王 战斗傩面_02.jpg,https://www.zgnuoxi.com/uploadfile/2025/1031/20251031095602650.jpg,https://www.zgnuoxi.com/mianju/view_1729.html,184572,25d8a0095e4e5c45e00e0d54d952d5a15f16e05a8389eabaf415c4952c168275
21,清代池州“招魂使者”傩面,1,021_清代池州“招魂使者”傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/1005/20251005122347264.jpg,https://www.zgnuoxi.com/mianju/view_1721.html,98032,dc3493d7629247ca522d186060bc81cbc31350886432857fe8bacd813dc86b79
22,1500岁的阿布摩 撮泰吉面具,1,022_1500岁的阿布摩 撮泰吉面具_01.png,https://www.zgnuoxi.com/uploadfile/2025/0929/20250929031135538.png,https://www.zgnuoxi.com/mianju/view_1717.html,240256,ab09d8ef5e86cccd59304629272427b68b43439c30395e6e8ff9f1e261b7853d
23,杨任 江西南丰木质傩面,1,023_杨任 江西南丰木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0923/20250923095213425.jpg,https://www.zgnuoxi.com/mianju/view_1714.html,68857,d0fdd0dbdd89165e49126dc9dc04bd7e7490810d1dcd42177c57686914248854
24,阴公 江西木质傩面,1,024_阴公 江西木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0922/20250922094529160.jpg,https://www.zgnuoxi.com/mianju/view_1713.html,60288,cdf7e7f470b960dbbe9ef84198b9e23b0840c01eb4e9ab21d3d65f18b31cbd20
25,殷郊 南丰木质傩面 ,1,025_殷郊 南丰木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0917/20250917102828307.jpg,https://www.zgnuoxi.com/mianju/view_1712.html,64877,ef0d3612f73e404ab5a483f4d7b2ae4d8a0304e0264d8403626765c64b294f85
26, 歪嘴和尚 广西木质傩面,1,026_歪嘴和尚 广西木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0917/20250917102204944.jpg,https://www.zgnuoxi.com/mianju/view_1711.html,108780,466e64b53448af2a768777076abf09d00de0920456837e360bd71d5f0ee55d7f
27,报府三郎，亦称为“报事” ,1,027_报府三郎，亦称为“报事”_01.png,https://www.zgnuoxi.com/uploadfile/2025/0915/20250915122215170.png,https://www.zgnuoxi.com/mianju/view_1709.html,121160,1dafbcf1304fddf36249dcda41d389eb5f9a5603d581aad55141352ed90d63da
28,婆王圣母 贵州荔波“做桥”傩面具,1,028_婆王圣母 贵州荔波“做桥”傩面具_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0911/20250911102617163.jpg,https://www.zgnuoxi.com/mianju/view_1704.html,92493,d6c0477c6fd400538a0e662d9eb9f07a3da47009e1c9077efca6d925cd723072
29,唐上元 文官帽饰荔波“做桥”面具,1,029_唐上元 文官帽饰荔波“做桥”面具_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0910/20250910104604229.jpg,https://www.zgnuoxi.com/mianju/view_1702.html,68429,10610cff284985dd7559d885f7c2550fe06cc33cd86092752bd33bf674cfccde
30,葛中元 武将头盔的造型面具,1,030_葛中元 武将头盔的造型面具_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0910/20250910104231220.jpg,https://www.zgnuoxi.com/mianju/view_1701.html,86146,43631b9536f2da366fc440d0a9416fdfeb6872761945384aebc046b4ea68e81c
31,周下元 武将头盔荔波“做桥”面具,1,031_周下元 武将头盔荔波“做桥”面具_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0910/20250910103923534.jpg,https://www.zgnuoxi.com/mianju/view_1700.html,70063,2cd39088f7fad9e270220871cd0d4d51986e03b5a2f72a9aad25fbdee44024d7
32,桂北傩面具 近代木质,1,032_桂北傩面具 近代木质_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0425/20250425101037643.jpg,https://www.zgnuoxi.com/mianju/view_1572.html,183581,9b25383fa0d459e094f1bc19f6c5a9ba141ebfbd8b2b203965c97c40ab8922fb
33,湘西木质傩公傩母像  ,1,033_湘西木质傩公傩母像_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0421/20250421092040221.jpg,https://www.zgnuoxi.com/mianju/view_1561.html,87664,6a66d9769b85cff3825dd90605c280c2722cc7e559536ca7b8aa684a9d2c07da
34,“判官” 泡桐木质的傩面 庄迅作品,1,034_“判官” 泡桐木质的傩面 庄迅作品_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0417/20250417093244985.jpg,https://www.zgnuoxi.com/mianju/view_1554.html,208469,b2b017f1559d4e6bd08db2bcef64a282aa2cb355762094b02f70f9c7ab81cf64
35,十二生肖泡桐傩面具 作者庄迅 ,1,035_十二生肖泡桐傩面具 作者庄迅_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0416/20250416105154581.jpg,https://www.zgnuoxi.com/mianju/view_1552.html,410337,3bbeba073598fb7b195103cbc1a74ed9271289669fd9d6284ea4c217215d0833
36,【猪】十二生肖 湘西傩面,1,036_【猪】十二生肖 湘西傩面_01.jpeg,https://www.zgnuoxi.com/uploadfile/2025/0219/20250219105144973.jpeg,https://www.zgnuoxi.com/mianju/view_1533.html,324552,379ac8ca7cf2cdef9960afd663dda2b4b1370d52670a94a4888a589dc67694d1
37,【狗】十二生肖 湘西傩面,1,037_【狗】十二生肖 湘西傩面_01.jpeg,https://www.zgnuoxi.com/uploadfile/2025/0219/20250219104558377.jpeg,https://www.zgnuoxi.com/mianju/view_1532.html,314702,c3a29f08fbd9476db3ba76b79385143689713116bb142e06c3363de0f0b4ca1b
38,【龙】十二生肖 湘西木质傩面,1,038_【龙】十二生肖 湘西木质傩面_01.jpeg,https://www.zgnuoxi.com/uploadfile/2025/0219/20250219104200555.jpeg,https://www.zgnuoxi.com/mianju/view_1531.html,315509,1c719e90da8a46f756a62f00d7efd43a809c753677094ceb7e2e3f7f13498b7a
39,【兔】十二生肖 湘西木质傩面,1,039_【兔】十二生肖 湘西木质傩面_01.jpeg,https://www.zgnuoxi.com/uploadfile/2025/0219/20250219103523701.jpeg,https://www.zgnuoxi.com/mianju/view_1530.html,305438,e8f718648b9d6a60c42648c6055000526ab6cf5de774089aa70783b9fb6e4de3
40, 【鼠】十二生肖 湘西木质傩面,1,040_【鼠】十二生肖 湘西木质傩面_01.jpeg,https://www.zgnuoxi.com/uploadfile/2025/0219/20250219103014982.jpeg,https://www.zgnuoxi.com/mianju/view_1529.html,304514,b897cae8de1e67acfd8def395c26d7a3f30d3872c235ecc0ebe457c290a4da6a
41,【牛】十二生肖 湘西木质傩面,1,041_【牛】十二生肖 湘西木质傩面_01.jpeg,https://www.zgnuoxi.com/uploadfile/2025/0219/20250219101358665.jpeg,https://www.zgnuoxi.com/mianju/view_1528.html,332560,284d9cca7b9ac34123d7b29643c591afadbf10fc319699bdb68f4fbcf2e59fa8
42,十二生肖 傩戏面具 （十张高清图片）,1,042_十二生肖 傩戏面具 （十张高清图片）_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024505483.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,619422,7429a1e5c9d19ef029541f532cb7fa6d8819b7a43da0af85d3affe38a107756f
42,十二生肖 傩戏面具 （十张高清图片）,2,042_十二生肖 傩戏面具 （十张高清图片）_02.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024519245.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,662903,55a4bd623a2140123ec5d7ef3a44e781589175e3ee9013bd578b3813b9787ea2
42,十二生肖 傩戏面具 （十张高清图片）,3,042_十二生肖 傩戏面具 （十张高清图片）_03.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024538493.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,345717,5e5ebf7a44dcf395e27b70d93ad1792bdb93ea29ac2765bb5bf16b067fd2eef3
42,十二生肖 傩戏面具 （十张高清图片）,4,042_十二生肖 傩戏面具 （十张高清图片）_04.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024538392.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,313089,d49d4b02644d3c65579bec8e2ecdb3cd450ae59916698d55b7d9173470ed3c95
42,十二生肖 傩戏面具 （十张高清图片）,5,042_十二生肖 傩戏面具 （十张高清图片）_05.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024539114.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,327438,8af0c7d525da1c81fabab13d187e76d6d06b3aca80866ecb16589deb24893be3
42,十二生肖 傩戏面具 （十张高清图片）,6,042_十二生肖 傩戏面具 （十张高清图片）_06.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024540911.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,327438,8af0c7d525da1c81fabab13d187e76d6d06b3aca80866ecb16589deb24893be3
42,十二生肖 傩戏面具 （十张高清图片）,7,042_十二生肖 傩戏面具 （十张高清图片）_07.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024540774.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,355455,1eebd1d0337e010d7e130419707bbed5f35cba92f35f57b9c5c502117437d71b
42,十二生肖 傩戏面具 （十张高清图片）,8,042_十二生肖 傩戏面具 （十张高清图片）_08.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024541812.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,386395,dc990b107601324e49fa4239c7abc6f2ed12e43f15a68eaf9d61c4c2aaf521af
42,十二生肖 傩戏面具 （十张高清图片）,9,042_十二生肖 傩戏面具 （十张高清图片）_09.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024541641.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,315897,4ac1594d0db00b6431ef6bd8ef586aaeb49642825dbc980bbf9cd38f1805bc9e
42,十二生肖 傩戏面具 （十张高清图片）,10,042_十二生肖 傩戏面具 （十张高清图片）_10.jpg,https://www.zgnuoxi.com/uploadfile/2025/0214/20250214024541377.jpg,https://www.zgnuoxi.com/mianju/view_1527.html,278176,8c6c6bf3d68df57488bcc4825d001f77d09a0d99585845b3d4048e628d4b4296
43,雷震子 恩施木质傩面,1,043_雷震子 恩施木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0211/20250211112042511.jpg,https://www.zgnuoxi.com/mianju/view_1522.html,337473,c2523f587e7ccc84b2967eeb891a900b2f7e1a62b9f47662b6dc2145873df01d
44,关济相公 恩施地区木质,1,044_关济相公 恩施地区木质_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0211/20250211111758314.jpg,https://www.zgnuoxi.com/mianju/view_1521.html,351126,beed1ae1d6c47b33ac2e43e39578492b85a54eac28ee2fa5108f7f26b0ea35c3
45,方弼 恩施地区木质傩面,1,045_方弼 恩施地区木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0211/20250211111108614.jpg,https://www.zgnuoxi.com/mianju/view_1520.html,406562,c8c0833e3acdbd5d8517947c49e3add6dfb21967206605b8e22f372e6a637e66
46,赵虎 恩施木质傩面,1,046_赵虎 恩施木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0210/20250210112918245.jpg,https://www.zgnuoxi.com/mianju/view_1518.html,398935,dde355edfe1a29cdb048df7d6ebe031bfeb5c1e58a21a1020abb202d33d5878d
47,红脸判官 恩施木质傩面,1,047_红脸判官 恩施木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0210/20250210112609589.jpg,https://www.zgnuoxi.com/mianju/view_1517.html,293109,42a66a2f9a94e5cdbd3e243ed3c9cca32ed146eb78180928e20d765276a88bf7
48,黄花夫人 恩施木质傩面,1,048_黄花夫人 恩施木质傩面_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0210/20250210112021199.jpg,https://www.zgnuoxi.com/mianju/view_1516.html,297995,6b5ca2c8d6e25c54b9f6e8633819d2d877ea330422d5e0c328f645c9738c0f3b
49,判官  遵义木质傩面具,1,049_判官  遵义木质傩面具_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0208/20250208104432113.jpg,https://www.zgnuoxi.com/mianju/view_1515.html,411649,3ad5991a9eb7903d9bde52877a58d16dd5f37e18f697212c65f88c85fb8e1d6d
50,傩母  遵义木质傩面具,1,050_傩母  遵义木质傩面具_01.jpg,https://www.zgnuoxi.com/uploadfile/2025/0208/20250208105206814.jpg,https://www.zgnuoxi.com/mianju/view_1514.html,348639,6e52f923bfea164c9e0b49f28e8b75454f33b14adcf9cfef7addacc9767e0f22
